0,0.00089, 0}
500,14.691807, 0}
1000,21.183536, 0}
1500,26.878035, 0}
2000,31.205854, 0}
2500,34.394773, 0}
3000,37.128133, 0}
3500,39.178153, 0}
4000,41.455952, 0}
4500,43.733752, 0}
5000,46.011551, 0}
5500,48.289351, 0}
6000,51.02271, 0}
6500,53.30051, 0}
7000,56.033869, 0}
7500,59.222789, 0}
8000,61.956148, 0}
8500,65.600628, 0}
9000,71.067347, 0}
9500,74.711826, 0}
10000,80.178545, 0}
10500,85.645264, 0}
11000,91.111983, 0}
11500,98.400941, 0}
12000,105.6899, 0}
12500,112.978859, 0}
13000,120.267817, 0}
13500,127.556776, 0}
14000,134.845735, 0}
14500,142.134693, 0}
15000,153.068131, 0}
15500,160.35709, 0}
16000,167.646048, 0}
16500,182.223966, 0}
17000,189.512924, 0}
17500,204.090841, 0}
